,1_T1_2,2_T1_2,3_T1_2,4_T1_2,5_T1_2,6_T1_2,7_T1_2,8_T1_2,9_T1_2,10_T1_2,11_T1_2,12_T1_2,13_T1_2,14_T1_2,15_T1_2,16_T1_2,17_T1_2,18_T1_2,19_T1_2,20_T1_2,21_T1_2,22_T1_2,23_T1_2,24_T1_2,25_T1_2,26_T1_2,27_T1_2,28_T1_2,29_T1_2,30_T1_2,31_T1_2,32_T1_2,33_T1_2,34_T1_2,35_T1_2,36_T1_2,37_T1_2,38_T1_2,39_T1_2,40_T1_2,41_T1_2,42_T1_2,43_T1_2,44_T1_2,45_T1_2,46_T1_2,47_T1_2,48_T1_2,49_T1_2,50_T1_2,51_T1_2,52_T1_2,53_T1_2,54_T1_2,55_T1_2,56_T1_2,57_T1_2,58_T1_2,59_T1_2,60_T1_2,61_T1_2,62_T1_2,63_T1_2,64_T1_2,65_T1_2,66_T1_2,67_T1_2,68_T1_2,69_T1_2,70_T1_2,71_T1_2,72_T1_2,73_T1_2,74_T1_2,75_T1_2,76_T1_2,77_T1_2,78_T1_2,79_T1_2,80_T1_2,81_T1_2,82_T1_2,83_T1_2,84_T1_2,85_T1_2,86_T1_2,87_T1_2,88_T1_2,89_T1_2,90_T1_2,91_T1_2,92_T1_2,93_T1_2,94_T1_2,95_T1_2,96_T1_2,97_T1_2,98_T1_2,99_T1_2,100_T1_2,101_T1_2
0,,,,,5.0,,,,,,2.0,5.0,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.0,,6.0,,6.0,,,,7.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,7.0,7.0,,,,,,,6.0,,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,7.0,,,,7.0,6.0,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,7.0,,7.0,,,,5.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,5.0,,,,,,3.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,5.0,,,7.0,2.0,,,,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,7.0,6.0,,5.0,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,7.0,,5.0,3.0,,,,5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,5.0,6.0,,,,,6.0,,3.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
