,1_T1_1,2_T1_1,3_T1_1,4_T1_1,5_T1_1,6_T1_1,7_T1_1,8_T1_1,9_T1_1,10_T1_1,11_T1_1,12_T1_1,13_T1_1,14_T1_1,15_T1_1,16_T1_1,17_T1_1,18_T1_1,19_T1_1,20_T1_1,21_T1_1,22_T1_1,23_T1_1,24_T1_1,25_T1_1,26_T1_1,27_T1_1,28_T1_1,29_T1_1,30_T1_1,31_T1_1,32_T1_1,33_T1_1,34_T1_1,35_T1_1,36_T1_1,37_T1_1,38_T1_1,39_T1_1,40_T1_1,41_T1_1,42_T1_1,43_T1_1,44_T1_1,45_T1_1,46_T1_1,47_T1_1,48_T1_1,49_T1_1,50_T1_1,51_T1_1,52_T1_1,53_T1_1,54_T1_1,55_T1_1,56_T1_1,57_T1_1,58_T1_1,59_T1_1,60_T1_1,61_T1_1,62_T1_1,63_T1_1,64_T1_1,65_T1_1,66_T1_1,67_T1_1,68_T1_1,69_T1_1,70_T1_1,71_T1_1,72_T1_1,73_T1_1,74_T1_1,75_T1_1,76_T1_1,77_T1_1,78_T1_1,79_T1_1,80_T1_1,81_T1_1,82_T1_1,83_T1_1,84_T1_1,85_T1_1,86_T1_1,87_T1_1,88_T1_1,89_T1_1,90_T1_1,91_T1_1,92_T1_1,93_T1_1,94_T1_1,95_T1_1,96_T1_1,97_T1_1,98_T1_1,99_T1_1,100_T1_1,101_T1_1
0,,,,,6.0,,,,,,2.0,7.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,,6.0,,6.0,,,,6.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,7.0,7.0,,,,,,,7.0,,,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,6.0,,,,7.0,6.0,,,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,7.0,,7.0,,,,6.0,5.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,6.0,,,,,,3.0,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,6.0,,,6.0,2.0,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,7.0,6.0,,7.0,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,4.0,,6.0,3.0,,,,7.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,6.0,7.0,,,,,6.0,,4.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6.0,6.0,,,5.0,,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,7.0,,,7.0,,5.0,,7.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,7.0,,,3.0,,6.0,,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,5.0,7.0,6.0,,,,5.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,5.0,6.0,,,6.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,3.0,,,,,7.0,7.0,,,7.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
